tmp, a, b: 4 -1073741824 -11
tmp, a, b: 4 -1073741824 -11
tmp, a, b: 11 11 4
tmp, a, b: -11 -1073741824 4
tmp, a, b: 2 -1073741824 -2
tmp, a, b: 2 -1073741824 -2
tmp, a, b: 4 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 4 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 4 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 4 4 4
tmp, a, b: -4 -1073741824 4
tmp, a, b: -4 -4 28
tmp, a, b: 2 -4 -2
tmp, a, b: 2 -4 -2
tmp, a, b: 2 -4 -2
tmp, a, b: 4 -4 -4
tmp, a, b: 4 4 28
tmp, a, b: 2 4 -2
tmp, a, b: 2 4 28
tmp, a, b: 2 4 -2
tmp, a, b: 2 4 28
tmp, a, b: 2 4 -2
tmp, a, b: 2 4 28
tmp, a, b: 2 4 -2
tmp, a, b: 2 4 28
tmp, a, b: 2 4 -2
tmp, a, b: 2 4 28
tmp, a, b: 0 4 0
tmp, a, b: 0 4 28
tmp, a, b: 2 4 -2
tmp, a, b: 2 4 28
tmp, a, b: 2 4 -2
tmp, a, b: 2 4 28
tmp, a, b: 2 4 -2
tmp, a, b: 2 4 28
tmp, a, b: 0 4 0
tmp, a, b: 0 4 28
tmp, a, b: -4 -4 4
tmp, a, b: 2 -4 -2
tmp, a, b: 2 -4 -2
tmp, a, b: 2 -4 -2
tmp, a, b: 2 -4 -2
tmp, a, b: 4 -4 -4
tmp, a, b: 4 4 4
tmp, a, b: -4 -4 4
tmp, a, b: 2 -4 -2
tmp, a, b: 2 -4 -2
tmp, a, b: 2 -4 -2
tmp, a, b: 2 -4 -2
tmp, a, b: 2 -4 -2
tmp, a, b: 4 -4 -4
tmp, a, b: 4 4 4
tmp, a, b: -4 -4 4
tmp, a, b: 2 -4 -2
tmp, a, b: 2 -4 -2
tmp, a, b: 2 -4 -2
tmp, a, b: 2 -4 -2
tmp, a, b: 2 -4 -2
tmp, a, b: 4 -4 -4
tmp, a, b: 4 4 4
tmp, a, b: -4 -4 4
tmp, a, b: 4 -4 -4
tmp, a, b: 4 4 4
tmp, a, b: -4 -4 4
tmp, a, b: 2 -4 -2
tmp, a, b: 2 -4 -2
tmp, a, b: 2 -4 -2
tmp, a, b: 2 -4 -2
tmp, a, b: 4 -4 -4
tmp, a, b: 4 4 4
tmp, a, b: -4 -4 4
tmp, a, b: 2 -4 -2
tmp, a, b: 2 -4 -2
tmp, a, b: 2 -4 -2
tmp, a, b: 2 -4 -2
tmp, a, b: 4 -4 -4
tmp, a, b: 4 4 4
tmp, a, b: -4 -4 4
tmp, a, b: 2 -4 -2
tmp, a, b: 2 -4 -2
tmp, a, b: 2 -4 -2
tmp, a, b: 4 -4 -4
tmp, a, b: 4 4 4
tmp, a, b: -4 -4 4
tmp, a, b: 2 -4 -2
tmp, a, b: 2 -4 -2
tmp, a, b: 2 -4 -2
tmp, a, b: 2 -4 -2
